Al Itihad,31.972839,35.090941
Kafr Malik,31.980352,35.344877
Ras Karkar,31.942745,35.105077
'Ein 'Arik,31.906385,35.141647
'Ein Qiniya,31.926276,35.149356
Kobar,31.988248,35.156432
Ni'lin,31.946088,35.021259
Khirbet Abu Falah,32.008862,35.303997
Al Mazra'a ash Sharqiya,32.013265,35.266736
At Tayba,31.929259,35.329855
At Tira,31.871189,35.10985
Jifna,31.956034,35.212624
'Ajjul,32.021266,35.177285
Silwad,31.97034,35.265737
Al Mughayyir,32.030511,35.399335
Dura al Qar',31.957984,35.227147
Beit Sira,31.887248,35.042864
Beit 'Ur at Tahta,31.895037,35.083353
Rantis,32.027228,35.017428
Shuqba,31.986029,35.039642
Saffa,31.905227,35.061214
Deir Jarir,31.962637,35.29778
Bani Zeid Al Gharbyiah,32.041149,35.102999
'Ein Siniya,31.973266,35.229002
Al Lubban al Gharbi,32.034467,35.039366
'Ein Yabrud,31.945889,35.247008
Deir Dibwan,31.910894,35.271196
Beituniya,31.889539,35.162569
Kharbatha al Misbah,31.885171,35.067686
Bir Zeit,31.970689,35.197758
Turmus'ayya,32.035274,35.284722
Bil'in,31.928177,35.069895
Kafr Ni'ma,31.924635,35.097525
Rammun,31.928177,35.299169
Al Bireh,31.904993,35.212668
Ramallah,31.916263,35.170957
Sinjil,32.034467,35.263091
Shabtin,31.973588,35.047652
Deir Ibzi',31.915941,35.11872
Deir Abu Masha'al,31.998479,35.067164
'Abud,32.015946,35.066184
Qibya,31.976487,35.009637
Qarawat Bani Zeid,32.052853,35.127138
Deir as Sudan,32.031642,35.147793
'Abwein,32.031126,35.201874
Surda Abu Qash,31.949432,35.183015
alzaytuna,31.951142,35.149143
Deir Nidham,32.00371,35.113464
