Rantis,'Abud,4.765
Rantis,Al Lubban al Gharbi,2.219
Rantis,Shuqba,5.037
Al Lubban al Gharbi,Bani Zeid Al Gharbyiah,6.044
Al Lubban al Gharbi,'Abud,3.261
'Abud,Bani Zeid Al Gharbyiah,4.461
'Abud,Deir Abu Masha'al,1.944
'Abud,Shuqba,4.163
Shuqba,Deir Abu Masha'al,2.942
Shuqba,Ni'lin,4.768
Shuqba,Shabtin,1.576
Shuqba,Qibya,3.022
Bani Zeid Al Gharbyiah,Qarawat Bani Zeid,2.621
Bani Zeid Al Gharbyiah,Deir Nidham,4.278
Bani Zeid Al Gharbyiah,Deir as Sudan,4.353
Deir Abu Masha'al,Deir Nidham,4.405
Deir Abu Masha'al,Al Itihad,3.627
Ni'lin,Shabtin,3.943
Ni'lin,Qibya,3.554
Ni'lin,Saffa,5.904
Deir as Sudan,'Ajjul,3.01
Deir as Sudan,Kobar,4.893
Deir as Sudan,Deir Nidham,4.486
Deir as Sudan,Bir Zeit,8.254
Al Itihad,Kobar,6.41
Al Itihad,alzaytuna,5.997
Al Itihad,Ras Karkar,3.602
'Abwein,'Ajjul,2.564
'Abwein,Sinjil,5.783
'Abwein,Al Mazra'a ash Sharqiya,6.429
Kobar,'Ajjul,4.165
Kobar,Deir Nidham,4.402
Bir Zeit,'Ein Siniya,2.961
Bir Zeit,Kobar,4.36
Bir Zeit,Surda Abu Qash,2.743
Bir Zeit,Jifna,2.15
alzaytuna,Bir Zeit,5.075
alzaytuna,Surda Abu Qash,3.201
alzaytuna,'Ein Qiniya,2.765
Ras Karkar,alzaytuna,4.261
Ras Karkar,Kafr Ni'ma,2.136
Ras Karkar,Deir Ibzi',3.247
Shabtin,Al Itihad,4.084
Shabtin,Bil'in,5.468
Ni'lin,Bil'in,5.003
Saffa,Beit Sira,2.645
Saffa,Kharbatha al Misbah,2.312
Saffa,Beit 'Ur at Tahta,2.377
Sinjil,Turmus'ayya,2.041
Sinjil,Al Mazra'a ash Sharqiya,2.382
Sinjil,Khirbet Abu Falah,4.794
Al Mazra'a ash Sharqiya,Khirbet Abu Falah,3.547
Al Mazra'a ash Sharqiya,Turmus'ayya,2.977
Al Mazra'a ash Sharqiya,Silwad,4.774
Al Mazra'a ash Sharqiya,Deir Jarir,6.345
'Ein Siniya,Silwad,3.48
'Ein Siniya,Jifna,2.461
'Ein Siniya,Dura al Qar',1.708
Jifna,Dura al Qar',1.387
Jifna,Surda Abu Qash,2.888
Surda Abu Qash,Ramallah,3.86
Surda Abu Qash,Kobar,4.992
'Ein Qiniya,Ramallah,2.323
'Ein Qiniya,'Ein 'Arik,2.328
'Ein Qiniya,Deir Ibzi',3.111
Deir Ibzi','Ein 'Arik,2.411
Deir Ibzi',At Tira,5.046
Turmus'ayya,Al Mughayyir,10.817
Turmus'ayya,Khirbet Abu Falah,3.454
Khirbet Abu Falah,Al Mughayyir,9.305
Khirbet Abu Falah,Kafr Malik,4.991
Deir Jarir,Kafr Malik,4.86
Deir Jarir,At Tayba,4.789
Deir Jarir,Silwad,3.142
Dura al Qar','Ein Yabrud,2.307
Dura al Qar',Al Bireh,6.049
Ramallah,Al Bireh,4.132
Ramallah,Beituniya,3.075
Ramallah,'Ein 'Arik,2.977
Ramallah,'Ein Yabrud,7.897
'Ein 'Arik,Beituniya,2.722
'Ein 'Arik,At Tira,4.932
Beit 'Ur at Tahta,At Tira,3.646
Beit 'Ur at Tahta,Kafr Ni'ma,3.553
Beit 'Ur at Tahta,Deir Ibzi',4.068
Rammun,At Tayba,2.898
Rammun,Deir Dibwan,3.266
Rammun,'Ein Yabrud,5.301
Rammun,Deir Jarir,3.834
Rammun,Silwad,5.651
'Ein Yabrud,Deir Dibwan,4.511
Deir Dibwan,Al Bireh,5.563
Al Bireh,Beituniya,5.032
Beituniya,At Tira,5.38
Kafr Malik,Al Mughayyir,7.581
Kafr Malik,At Tayba,5.855
'Abwein,'Ein Siniya,6.924
Deir as Sudan,Qarawat Bani Zeid,3.058
